#Wavelength,Intensity
#nm,
444.46,1849.98342222222
444.68,1858.35718571429
444.89,1941.8477984127
445.1,1987.0685984127
445.31,1957.17571111111
445.53,1928.33694935065
445.74,1909.54138888889
445.95,1922.02638571428
446.16,1812.69502222222
446.38,1858.20207099567
446.59,1965.01128730159
446.8,1884.0079
447.01,1938.06610476191
447.22,1948.74803333333
447.44,1941.22436320346
447.65,1901.86182857143
447.86,1918.27268095238
448.07,1934.27715555555
448.29,1901.05307272727
448.5,1947.55038095238
448.71,1943.04166507937
448.92,1947.98286666667
449.14,1934.44896709957
449.35,1934.53886984127
449.56,1900.04508095238
449.77,1842.54834603175
449.98,1816.91088333334
450.2,1848.26083549784
450.41,1890.27241269841
450.62,1884.44368571428
450.83,1851.72702857143
451.04,1867.71542222223
451.26,1858.24046536796
451.47,1842.47175238095
451.68,1901.92756507937
451.89,1917.99236349207
452.1,1888.97885555556
452.32,1888.35268571429
452.53,1906.52077936508
452.74,1849.27792539683
452.95,1856.07308095238
453.16,1874.25996111111
453.38,1911.59106450216
453.59,1931.66685873016
453.8,1916.1579031746
454.01,1845.18411746032
454.22,1830.72285238096
454.43,1850.1285
454.65,1888.18935757576
454.86,1885.99263650793
455.07,1879.33788888889
455.28,1834.6971
455.49,1893.57578888889
455.71,1949.90996883117
455.92,1899.09301746032
456.13,1879.17005238095
456.34,1892.8313984127
456.55,1864.97961904762
456.76,1881.39137777778
456.98,1865.20317186147
457.19,1889.97355238095
457.4,1932.49923015874
457.61,1869.56597142857
457.82,1885.59681111111
458.03,1875.69746984127
458.24,1885.22329444444
458.46,1894.25173463203
458.67,1914.4001952381
458.88,1912.35326190476
459.09,1880.76770634921
459.3,1855.77005555556
459.51,1893.48355555556
459.73,1927.69287012987
459.94,1975.30068888889
460.15,1924.49760158731
460.36,1931.64430476191
460.57,1888.32568412699
460.78,1977.55824285716
460.99,1854.64892222222
461.2,1845.43706111111
461.42,1819.20596277056
461.63,1882.4867
461.84,1901.99017301588
462.05,1879.41714603174
462.26,1944.305
462.47,1956.6886984127
462.68,1944.04256111111
462.9,1893.33395887445
463.11,1942.80584285714
463.32,1868.39025555556
463.53,1855.80203174603
463.74,1838.71985873016
463.95,1948.81032063492
464.16,1984.12836507936
464.37,1957.48533174603
464.58,1866.20428888889
464.8,1944.78457359308
465.01,1946.38453492063
465.22,1948.73782380953
465.43,1888.63074920635
465.64,1976.24240793651
465.85,1983.27977936508
466.06,1934.73890634921
466.27,1872.80102222222
466.48,1835.55528412698
466.69,1882.66765
466.91,1983.80715151515
467.12,1909.52204285714
467.33,1879.79868888889
467.54,1893.79955714286
467.75,1888.94703174603
467.96,1935.02436190477
468.17,1888.12217777778
468.38,1901.93489206349
468.59,1928.57064603175
468.8,1878.77736190476
469.01,1900.18123968254
469.22,1877.15821666667
469.44,1856.76864112554
469.65,1900.5535968254
469.86,1879.39425714286
470.07,1917.30558888889
470.28,1905.70431746031
470.49,1937.83333650794
470.7,1926.33233333333
470.91,1951.00795079365
471.12,1925.40136825397
471.33,1914.73457936508
471.54,1883.40301111111
471.75,1883.97938888889
471.96,1869.3035015873
472.17,1869.89071587302
472.38,1844.19869444444
472.6,1884.02404199134
472.81,1841.85038412698
473.02,1874.67489047619
473.23,1874.57026031746
473.44,1882.71975873016
473.65,1948.26528095238
473.86,1938.49746984127
474.07,1888.26594920635
474.28,1874.3817047619
474.49,1930.80536031746
474.7,1900.45048095238
474.91,1952.65998253968
475.12,1894.23388412698
475.33,1849.73090634921
475.54,1867.98283492064
475.75,1856.63276666667
475.96,1838.55833333333
476.17,1867.26901111111
476.38,1836.37084444444
476.59,1865.56624444444
476.8,1909.29907460318
477.01,1924.85268571429
477.22,1946.12805873016
477.43,1946.43025238095
477.64,1902.69564603175
477.85,1885.26808412698
478.06,1915.2054047619
478.27,1900.21628095238
478.48,1880.22808095238
478.69,1853.34012380952
478.9,1880.50647936507
479.11,1942.69245873016
479.32,1940.84315238095
479.53,1852.53208333333
479.75,1926.01638181819
479.96,1889.37618571429
480.17,1885.0418968254
480.38,1884.17226190476
480.59,1844.99887936508
480.8,1872.21420722223
481,1884.12498571429
481.21,1838.22113968254
481.42,1893.81420634921
481.63,1941.89903174603
481.84,1938.4305984127
482.05,1945.76784603175
482.26,1908.43751111111
482.47,1885.58346349206
482.68,1884.57354444444
482.89,1886.95967460317
483.1,1830.28471904762
483.31,1891.22047460317
483.52,1881.93012857143
483.73,1887.65451904762
483.94,1968.24482380952
484.15,1844.37464761905
484.36,1845.61128253969
484.57,1872.10573968254
484.78,1851.57673333333
484.99,1852.33080793651
485.2,1880.72497301587
485.41,1881.4082
485.62,1960.60124920635
485.83,1925.3417984127
486.04,1907.02562063492
486.25,1875.40878095238
486.46,1832.12737142856
486.67,1889.39446190476
486.88,1900.03532063492
487.09,1927.09588571429
487.3,1875.3568031746
487.51,1866.05735079365
487.72,1961.57464285715
487.93,1861.14361499999
488.13,1886.42468571429
488.34,1866.32885714286
488.55,1916.42184761905
488.76,1895.88283333333
488.97,1878.06403968254
489.18,1825.64532063492
489.39,1838.91272222222
489.6,1851.80956666667
489.81,1856.92487619048
490.02,1895.62292698412
490.23,1996.00565555556
490.44,1958.58226666666
490.65,1865.53747936507
490.86,1900.29549365079
491.07,1877.74096444444
491.27,1893.59831904762
491.48,1847.03298095238
491.69,1807.48623492063
491.9,1887.26304603174
492.11,1908.46335238096
492.32,1860.11663015873
492.53,1883.77884603175
492.74,1885.77551746032
492.95,1807.68323809524
493.16,1890.90502222222
493.37,1909.08517388889
493.57,1912.85262380952
493.78,1912.56132063491
493.99,1913.86986666667
494.2,1904.21583650794
494.41,1902.53322698413
494.62,1886.75685714286
494.83,1923.01295079366
495.04,1923.01261428571
495.25,1932.59172698413
495.46,1904.97728777778
495.66,1936.89656190476
495.87,1905.06003809524
496.08,1930.57261428572
496.29,1901.52059682539
496.5,1827.18755714286
496.71,1867.5144031746
496.92,1921.05375555555
497.13,1884.07792380952
497.34,1877.26292611111
497.54,1861.13341904762
497.75,1872.73279047619
497.96,1914.78118095238
498.17,1900.41994285714
498.38,1903.26538095238
498.59,1868.78956349206
498.8,1894.7283952381
499.01,1914.29321388889
499.21,1928.8221047619
499.42,1880.77112063492
499.63,1853.45948730159
499.84,1849.69878253969
500.05,1899.14477619048
500.26,1891.84142857143
500.47,1857.58174388889
500.67,1868.31771904762
500.88,1883.84829365079
501.09,1863.06493015873
501.3,1882.73776825397
501.51,1875.04246666666
501.72,1823.67274944443
501.92,1956.69745714286
502.13,1956.8634
502.34,1887.93751746032
502.55,1856.06608412698
502.76,1868.0268952381
502.97,1952.2613952381
503.18,1858.36252777777
503.38,1872.35568571429
503.59,1917.23101269842
503.8,1879.69143015873
504.01,1934.89385555555
504.22,1868.23971746032
504.43,1864.34183611111
504.63,1872.42445238095
504.84,1909.83886984127
505.05,1935.28144920635
505.26,1878.41945238095
505.47,1951.29328166666
505.67,1942.11857619048
505.88,1977.39952857143
506.09,1925.78717460318
